economy,Pop-YR2002,Pop-YR2021,Pop%,Life-YR2002,Life-YR2021,Life%,Fer-YR2002,Fer-YR2021,Fer%,Death-YR2002,Death-YR2021,Death%,Birth-YR2002,Birth-YR2021,Birth%,Med_Age-YR2002,Med_Age-YR2021,Med%,Pop_Gro-YR2002,Pop_Gro-YR2021
ABW,91781,106537,0.16077401640862488,73.726,74.626,0.01220736239589848,1.763,1.18,-0.3306863301191152,6.42,11.235,0.75,12.992,7.193,-0.44635160098522175,33.9,41.2,0.21533923303834812,1.19471805545637,-0.0450446230906329
AFE,422741118,702977106,0.6629021310389778,52.540794004192,62.4545896453864,0.18868758702815613,5.43047454382283,4.35470911162755,-0.19809786852218358,13.3095890478815,8.03689904019719,-0.39615723586323426,40.0473245655938,33.5462662739603,-0.16233439717016218,,,,2.60659802563768,2.60747169409558
AFG,21000256,40099462,0.9094749130677264,56.454,61.982,0.09792043079321222,7.339,4.643,-0.3673525003406459,11.28,7.344,-0.3489361702127659,48.201,35.842,-0.2564054687662082,14.0,16.7,0.19285714285714284,6.44932147797304,2.85135765449931
AFW,284952322,478185907,0.6781260234826232,50.9278483335328,56.9886567820139,0.11900774619002386,5.96726651984921,4.97866247082482,-0.16567117385086594,15.0069056553924,10.6789520483923,-0.2883974688975901,42.92712139574,36.237033763471,-0.15584757176224062,,,,2.8114526890211,2.57337740168795
AGO,17516139,34503774,0.969827597280428,47.386,61.643,0.30086945511332464,6.567,5.304,-0.19232526267702144,17.275,8.009,-0.536382054992764,47.448,38.809,-0.18207300623840839,15.7,16.2,0.031847133757961776,3.33513160843876,3.16602986153025
ALB,3051010,2811666,-0.07844746493784027,75.89,76.463,0.007550401897483017,2.036,1.39,-0.31728880157170924,5.953,11.325,0.9024021501763815,15.209,10.24,-0.3267144453941745,27.3,37.3,0.3663003663003661,-0.299876697084691,-0.926918061639398
AND,70849,79034,0.11552738923626293,0.0,0.0,,0.0,0.0,,0.0,0.0,,11.2,0.0,-1.0,36.8,42.5,0.15489130434782616,4.36937150135481,1.70228822534561
ARB,300018650,456520777,0.5216413279641117,67.9355701632582,70.814483021063,0.04237710599743827,3.72736884420368,3.14256520482342,-0.15689449148282464,6.11731128146867,5.75036744684021,-0.059984496087366446,28.36912402169,23.7748332749749,-0.16194686671334912,,,,2.21670748153213,1.62333518723852
ARE,3633655,9365145,1.5773346671602009,74.901,78.71,0.05085379367431675,2.54,1.46,-0.4251968503937008,1.987,1.874,-0.0568696527428284,16.401,10.307,-0.37156270959087856,26.6,32.8,0.23308270676691722,5.06487258360989,0.834812788038646
ARG,37885028,45808747,0.20915172611196176,74.408,75.39,0.013197505644554353,2.493,1.885,-0.24388287204171677,7.518,8.955,0.19114126097366335,18.756,13.902,-0.2587971849008318,27.1,31.3,0.15498154981549805,1.07353834961783,0.947490959333989
ARM,3105037,2790974,-0.10114629873975733,71.018,72.043,0.014432960657861482,1.525,1.575,0.032786885245901676,8.593,13.007,0.5136739206330734,12.19,12.049,-0.011566858080393816,29.4,34.4,0.17006802721088432,-0.900783081509756,-0.522963242641951
ASM,58177,45035,-0.22589683208140676,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,20.1,27.6,0.3731343283582089,-0.252358482783624,-2.53017092647207
ATG,77195,93219,0.20757821102403007,75.536,78.497,0.03919985172632923,1.94,1.58,-0.18556701030927825,6.072,6.365,0.048254281949934086,17.202,12.115,-0.29572142774096044,27.9,34.7,0.24372759856630832,1.27763943800851,0.597151594527623
AUS,19495210,25688079,0.3176610562286839,79.9365853658537,83.3,0.04207603588210107,1.756,1.7,-0.031890660592255204,6.8,6.7,-0.014705882352941124,12.8,12.1,-0.05468750000000011,34.9,37.0,0.06017191977077374,1.1375387361946,0.127728295728263
AUT,8081957,8955797,0.10812232730265703,78.6780487804878,81.2390243902439,0.032550065100130254,1.39,1.48,0.06474820143884896,9.4,10.3,0.0957446808510638,9.7,9.6,-0.010309278350515427,37.9,42.8,0.12928759894459096,0.49198046425522,0.435671684056384
AZE,8171950,10137750,0.24055457999620655,66.239,69.366,0.04720783828258268,1.8,1.52,-0.15555555555555556,5.7,7.6,0.33333333333333326,13.5,11.1,-0.1777777777777778,25.2,31.4,0.24603174603174605,0.746173582716985,0.441197735816311
BDI,6648938,12551213,0.8877019157044328,49.891,61.663,0.23595438054959805,6.819,5.078,-0.25531602874321746,14.501,7.474,-0.484587269843459,43.807,34.842,-0.20464765904992355,15.1,15.6,0.0331125827814569,2.79413757787033,2.67247846179476
BEL,10332785,11592952,0.12195811680974677,78.0756097560976,81.890243902439,0.04885820499203297,1.65,1.6,-0.030303030303030165,10.2,9.7,-0.0490196078431373,10.9,10.2,-0.06422018348623859,38.4,40.9,0.06510416666666674,0.448268894821562,0.469904402495701
BEN,7431783,12996895,0.7488259546867824,56.606,59.821,0.05679609935342533,5.777,4.973,-0.13917258092435525,11.77,9.434,-0.19847068819031444,41.251,36.608,-0.11255484715522046,16.3,17.5,0.07361963190184051,3.00138127284262,2.75970517933377
BFA,12632269,22100683,0.7495418281545461,51.272,59.27,0.15599157434857247,6.339,4.772,-0.24719987379712893,14.837,8.958,-0.3962391318999797,44.463,35.541,-0.20066122393900554,15.6,16.6,0.06410256410256432,3.07479003510637,2.65037591522147
BGD,134139826,169356251,0.26253519219564225,66.612,72.381,0.08660601693388581,3.084,1.981,-0.3576523994811932,6.597,5.68,-0.13900257692890716,27.968,17.821,-0.36280749427917613,20.2,26.3,0.301980198019802,1.85802653007171,1.14931847631384
BGR,7837161,6877743,-0.1224190749686015,71.8658536585366,71.5146341463415,-0.004887154250805548,1.23,1.58,0.2845528455284554,14.4,21.7,0.5069444444444444,8.5,8.5,0.0,39.2,44.5,0.13520408163265296,-2.17069878030004,-0.814846471528947
BHR,748324,1463265,0.9553896440579215,76.088,78.76,0.03511723267795208,2.69,1.811,-0.3267657992565056,2.509,2.479,-0.011956954962136224,20.471,11.926,-0.4174197645449661,26.1,32.7,0.25287356321839094,2.44395122899014,-0.966024840061971
BHS,334002,407906,0.22126813611894547,72.232,71.598,-0.0087772732307011,1.998,1.389,-0.30480480480480476,5.785,8.986,0.5533275713050996,17.161,11.445,-0.33308082279587437,26.3,32.4,0.23193916349809873,1.31883025634015,0.352416997336031
BIH,4198410,3270943,-0.22090910606634417,74.612,75.3,0.009221036830536766,1.23,1.35,0.09756097560975618,8.859,15.712,0.773563607630658,9.902,8.42,-0.14966673399313268,33.6,41.8,0.24404761904761885,0.0828752170247773,-1.44065259604193
BLR,9865548,9302585,-0.0570635305813727,68.0560975609756,72.3706829268293,0.06339748414149082,1.24,1.483,0.19596774193548394,14.8,16.544,0.11783783783783774,8.9,9.283,0.04303370786516836,36.2,40.2,0.11049723756906071,-0.636565666436346,-0.82823272086807
BLZ,255987,400031,0.5627004496322079,68.752,70.47,0.024988363974866257,3.465,2.01,-0.4199134199134199,5.755,6.353,0.10390964378801049,29.185,17.976,-0.3840671577865342,19.0,25.2,0.3263157894736841,3.12947712423959,1.28562992065572
BMU,62912,63764,0.013542726347914646,80.631,79.28,-0.01675534223809705,1.77,1.3,-0.2655367231638418,6.7,11.3,0.6865671641791045,13.2,7.7,-0.41666666666666663,36.7,44.9,0.22343324250681196,0.650636983025823,-0.202104144558527
BOL,8900583,12079472,0.3571551436574436,63.306,63.63,0.005117998294000614,3.802,2.618,-0.31141504471330883,9.287,9.945,0.07085172822224606,28.572,21.836,-0.2357552848943022,19.9,23.9,0.20100502512562812,1.75107228754869,1.19348671867883
BRA,180476685,214326223,0.18755629293612075,70.41,72.75,0.03323391563698341,2.103,1.641,-0.21968616262482177,6.329,8.326,0.3155316795702323,18.574,12.883,-0.30639603747173483,25.0,32.8,0.31199999999999983,1.26284153622856,0.528590452919416
BRB,266455,281200,0.05533767427895886,74.366,77.571,0.04309765215286543,1.793,1.633,-0.08923591745677628,9.296,9.007,-0.03108864027538727,13.77,10.832,-0.21336238198983293,33.1,38.9,0.1752265861027189,0.405391731352261,0.180461453548187
BRN,347463,445373,0.2817853987331025,74.426,74.642,0.0029022115927228587,2.22,1.778,-0.19909909909909917,3.339,5.211,0.5606469002695418,18.225,13.8,-0.24279835390946503,22.8,31.8,0.39473684210526305,1.95149833621625,0.822461681539278
